ticker,forecast_date,forecast_volatility,forecast_variance,forecast_horizon
msft,2025-09-11,1.1724178469089446,1.3745636077506052,1
msft,2025-09-12,1.2057431571396218,1.4538165609890226,2
msft,2025-09-15,1.2334273578365131,1.521343047059562,3
msft,2025-09-16,1.26310305258743,1.5954293214556838,4
msft,2025-09-17,1.291440256609771,1.6678179363923107,5
msft,2025-09-18,1.3124234390843783,1.7224552834580669,6
msft,2025-09-19,1.332824731487832,1.7764217648656115,7
msft,2025-09-22,1.3509998996619088,1.8252007288864878,8
msft,2025-09-23,1.3707269817232417,1.8788924584241082,9
msft,2025-09-24,1.391416918767935,1.9360410418336544,10
msft,2025-09-25,1.4073899074762266,1.9807463516659416,11
msft,2025-09-26,1.4218636653884693,2.021696282951933,12
msft,2025-09-29,1.4373547465592265,2.065988667456338,13
msft,2025-09-30,1.4533764830363631,2.112303201443148,14
